SSN	First Name	Last Name	House Number	Street Address	City	State	Zip	DOB-Day	DOB-Month	DOB-Year	Phone	Occupation	Salary	TruthFileRowNum
486-76-4196	Eric	CEdward	2272	CNWashington St	Concord	CA	94520	29	1	1931	(573) 628-3731	Sales Engineer	$69,795.00 	345
283-64-0442	Annie	Gingrich	2999	Main Ave.	Mogadore	OH	44260	12	5	1978	(330) 230-3287	Lawyer	$105,197.00 	346
267-57-5267	Corey	Brining	765	Green Street	Miami	FL	33183	22	1	1992	(305) 909-8692	LRetail SalespersonDV	$21,431.00 	347
380-94-5205	Latona	Kathryn	1984	Jackson Drive, Apt. 15	Seattle	WA	98136	29	4	1932	(616) 431-6453	Subway and Streetcar Operator	$49,137.00 	348
407-16-4376	FDarlene	Tow	522	EHThirteenth St	Soddy Daisy	TN	37379	7	5	1941	(423) 774-0914	Dental Assistant	$27,791.00 	349
641-42-3648	Angela	Freer	350	Second St.	Houston	TX	77036	8	2	1971	(281) 415-1472	Laborer and Freight, Stock, and Material Movers, Hand	$20,868.00 	350
364-44-4144	Dian	Prideaux	2477	Lakeview Drive	Harahan	LA	70123	19	1	1987	(248) 472-1231	Judge, Magistrate Judge, and Magistrate	$85,220.00 	351
261-23-3503	Patee	Rita	1483	Church Ave	Palma Sola	FL	34209	11	3	1950	(941) 757-2701	YCleaner of Vehicles and EquipmentBE	$18,788.00 	352
687-05-8494	Walton	Marlene	649	Tenth Dr	Tenaha	TX	75974	3	10	1980	(336) 427-1545	Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tender	$32,954.00 	353
124-32-8419	Felicia	JFrye	742	Fifth Dr., Apt. 21	Brooklyn	NY	11218	4	6	1971	(347) 549-0157	HJanitor and Cleaner, Except Maids and Housekeeping CleanerKY	$20,185.00 	354
606-05-7033	Holmes	Mark	1339	Park St	San Diego	CA	92120	11	3	1993	(619) 682-4140	Construction Manager	$67,772.00 	355
465-61-9641	Ellen	Crist	376	Third Blvd., Apt. 26	Houston	TX	77089	16	5	1983	(281) 653-7104	Truck Driver, Light Or Delivery Service	$25,613.00 	356
334-74-5855	MVictor	Huser	1704	TPSecond Drive, Apt. 8	Lincolnwood	IL	60646	3	7	1946	(312) 770-2631	Customer Service Representative	$27,863.00 	357
458-91-7850	Rosalie	JKing	948	Hill Avenue	Austin	TX	78722	12	9	1912	(512) 300-5666	Helper--Production Worker	$21,051.00 	358
510-26-5272	Lori	LLeona	1060	Eleventh St.	Memphis	TN	38106	26	6	1928	(785) 228-7640	Computer Software Engineer, Application	$74,466.00 	359
223-79-0383	Betsey	Michelotti	1172	Meadow St	Jeffersontown	KY	40299	17	8	1992	(804) 885-1112	First-Line Supervisor/Manager of Mechanics, Installers, and Repairer	$50,793.00 	360
767-18-2135	KLorraine	Rice	792	YMRiver Dr.	Lake Alfred	FL	33850	18	4	1979	(863) 412-9338	Licensed Practical and Licensed Vocational Nurse	$31,249.00 	361
594-72-2474	PMichael	Brooks	2463	Railroad St	Miami Shores	FL	33138	5	8	1927	(305) 458-6913	Parts Salesperson	$26,618.00 	362
767-16-2194	Arriaga	Joann	847	Cedar Avenue	South Miami	FL	33143	2	2	1958	(305) 807-3970	Data Entry Keyer	$23,979.00 	363
341-24-0044	Joe	Ackermann	982	Lee Drive	Elk Grove Villag	IL	60007	1	10	1998	(224) 622-4111	RTellerAW	$21,044.00 	364
504-46-2874	Brian	Huang	1669	First Ave	Sioux Falls	SD	57106	1	7	1951	(605) 753-8698	MLaborer and Freight, Stock, and Material Movers, HandMV	$20,968.00 	365
015-82-5510	Shelley	Timmer	1656	Johnson Drive	Somerville	MA	2143	27	11	1947	(617) 941-4236	General and Operations Manager	$82,723.00 	366
053-74-7877	Carol	Martinez	597	Pine Dr.	Arlington	NY	12603	12	1	1942	(845) 650-2152	General and Operations Manager	$85,289.00 	367
311-66-5315	Maricela	Gibson	2485	North Avenue	Bellflower	CA	90706	5	1	1989	(812) 255-8365	Office Clerk, General	$22,801.00 	368
441-02-8925	Kristie	Wood	912	Fifth Dr	Dallas	TX	75227	2	11	1928	(580) 297-1612	Food Preparation Worker	$17,098.00 	369
519-50-9406	Walter	Gregg	1892	Birch Ave.	Walkerville	MT	59701	21	2	1973	(406) 563-9934	Motorboat Mechanic	$30,307.00 	370
577-50-9378	Trentini	Dean	2282	Smith St.	Washington	DC	20020	10	3	1969	(202) 223-4018	Computer Software Engineer, Application	$76,460.00 	371
603-54-1684	Blair	Lara	2487	Walnut St.	West Menlo Park	CA	94025	29	8	1943	(650) 946-7615	Police and Sheriff's Patrol Officer	$42,071.00 	372
687-01-6856	Leslie	Loethen	2971	Miller Dr.	Farmer	NC	27203	24	8	1907	(704) 355-5558	Cutter and Trimmer, Hand	$25,328.00 	373
030-44-0335	Thomas	Jordan	1823	First Avenue	Yarmouth Port	MA	2675	19	7	1962	(508) 805-4517	Middle School Teacher, Except Special and Vocational Education	$45,903.00 	374
146-24-6635	James	Willis	1782	Ninth Avenue	Weehawken	NJ	7087	28	1	1977	(908) 408-9428	Aerospace Engineer	$76,782.00 	375
232-09-5636	James	Hoffelt	2365	Fourteenth Ave	Delair	NJ	8110	19	3	1919	(304) 803-7225	Secretary, Except Legal, Medical, and Executive	$27,273.00 	376
611-14-3256	Ethel	JAshley	883	View Ave.	San Francisco	CA	94112	16	10	1960	(415) 773-4455	Packaging and Filling Machine Operators and Tender	$22,286.00 	377
018-38-7254	Luis	Brown	602	East Ave.	Acton	MA	1720	5	7	1920	(508) 683-2129	Bus and Truck Mechanic and Diesel Engine Specialist	$33,877.00 	378
009-14-8074	Patricia	Brown	1001	Park Dr	Waterbury	VT	5676	9	8	1967	(802) 244-8296	Truck Driver, Heavy and Tractor-Trailer	$35,247.00 	379
547-27-4411	Sandra	Sanders	2885	Sixth Street	Vallejo	CA	94591	26	4	1981	(707) 551-7312	Food Preparation and Serving Related Occupation	$17,097.00 	380
40-52-6622	NRon	Harrison	1682	Central Avenue	Cranston	RI	2920	12	12	1978	(603) 370-0820	Retail Salesperson	$21,652.00 	381
608-08-1693	Tonya	Montague	233	Sunset Blvd.	Long Beach	CA	90802	18	5	1967	(310) 932-7376	Licensed Practical and Licensed Vocational Nurse	$33,857.00 	382
414-45-8659	William	Loughary	2257	Hillcrest Avenue	Memphis	TN	38111	1	2	1946	(901) 345-1718	Truck Driver, Light Or Delivery Service	$26,196.00 	383
146-14-6640	Lucille	Chabot	2049	PDWashington Dr	Maple Shade	NJ	8052	20	10	1907	(856) 810-0502	Dental Assistant	$29,194.00 	384
542-29-3528	Joyce	Huffman	1581	Fifth St.	Sheridan	OR	97378	25	5	1960	(503) 843-7680	Cutting and Slicing Machine Setter, Operator, and Tender	$25,774.00 	385
536-11-7772	Mark	OBrown	543	KQFourth Dr.	Langley	WA	98260	26	9	1993	(360) 341-7984	Laborer and Freight, Stock, and Material Movers, Hand	$21,774.00 	386
490-46-4666	CBenjamin	Stratton	2076	Fifteenth Blvd.	Freeman	MO	64746	6	5	1994	(816) 899-2662	Electrical and Electronic Engineering Technician	$46,388.00 	387
061-70-1780	Hazel	Cawthon	1274	Fifth Blvd.	Youngstown	OH	44510	27	7	1913	(631) 368-6045	Sheet Metal Worker	$37,318.00 	388
672-03-4226	VAaron	Umana	416	Ninth Ave.	Lawrenceville	GA	30245	3	4	1949	(770) 927-4020	Stock Clerk and Order Filler	$20,992.00 	389
300-42-7258	Louviere	Dennis	1941	Broadway Drive	Lexington	GA	30648	3	6	1912	(440) 293-9329	Meat, Poultry, and Fish Cutters and Trimmer	$19,369.00 	390
637-50-8593	Bernice	Peterson	957	Center Dr	Round Rock	TX	78681	1	9	1936	(512) 505-5121	Elementary School Teacher, Except Special Education	$44,338.00 	391
385-18-8276	Daryl	Costigan	2941	Church Dr.	Marshall	MI	49068	24	7	1984	(269) 781-4212	BNursing Aide, Orderly, and AttendantOB	$20,527.00 	392
662-07-8864	Walton	Wanda	602	LIFifth Blvd.	Plain Dealing	LA	71064	29	1	1969	(318) 326-4363	Cashier	$17,016.00 	393
094-78-4576	Chiquita	Sauce	100	Seventh Dr.	South Bend	IN	46601	8	8	1939	(347) 733-1560	Telecommunications Equipment Installer and Repairer, Except Line Installer	$44,667.00 	394
617-16-2058	Owens	EJoseph	1695	Third Street	Long Beach	CA	90805	12	9	1962	(310) 870-8613	Construction Laborer	$28,367.00 	395
513-21-3521	MDaniel	JWood	532	Cherry Ave.	Shenango	PA	16125	9	1	1985	(316) 351-0192	Food Preparation Worker	$17,952.00 	396
467-10-5860	Heather	Hammer	2816	ORPark Blvd.	Sherman	TX	75090	4	5	1985	(903) 328-6782	Medical and Health Services Manager	$66,703.00 	397
308-40-8904	TMary	Tineo	1568	River Dr	Carlton	MN	55718	18	10	1939	(765) 506-7289	Automotive Body and Related Repairer	$33,714.00 	398
401-66-7837	John	Rodriguez	278	Fifth Blvd.	Pontotoc	MS	38863	2	1	1907	(606) 417-5143	Sheet Metal Worker	$37,683.00 	399
377-14-7868	Jo	QIngram	1191	North Ave.	South Miami	FL	33143	1	10	1954	(248) 472-1308	Numerical Tool and Process Control Programmer	$39,068.00 	400
132-42-2498	Elizabeth	Bain	457	Fifth Dr, Apt. 22	San Diego	CA	92104	9	2	1993	(347) 203-8497	Helpers--Installation, Maintenance, and Repair Worker	$23,523.00 	401
622-74-4679	BHarold	Crosbie	1737	Meadow Ave	Barry	MN	56210	6	10	1948	(650) 607-4346	Elementary School Teacher, Except Special Education	$42,766.00 	402
283-44-0444	Earlene	Arthur	702	HHMain Drive	Norwood	OH	45212	24	12	1936	(937) 302-3175	Construction Laborer	$28,329.00 	403
286-38-2698	RKelvin	Hatfield	1663	Park Ave.	Stow	OH	44224	16	1	1955	(234) 555-9327	Teacher Assistant	$20,182.00 	404
258-10-5443	Cory	Raycraft	190	Sunset Ave.	Gainesville	GA	30504	27	9	1963	(678) 776-6113	Cutting, Punching, and Press Machine Setter, Operator, and Tender, Metal and Plastic	$25,663.00 	405
594-53-2478	James	Goncalves	637	Oak Blvd.	College Parkway	FL	33919	30	10	1923	(941) 651-4485	Janitor and Cleaner, Except Maids and Housekeeping Cleaner	$20,039.00 	406
535-08-5479	Pauline	Blankenship	388	Third Dr	Las Vegas	NV	89104	13	6	1961	(702) 301-7928	NMerchandise Displayer and Window TrimmerNN	$24,661.00 	407
644-60-2535	Todd	Colvin	782	Elm Dr, Apt. 5	Houston	TX	77021	7	1	1989	(281) 674-7583	Bill and Account Collector	$27,514.00 	408
540-26-3099	CJohn	Penwell	1360	Park Avenue	Lake Oswego	OR	97034	9	2	1908	(503) 212-1475	Food Preparation and Serving Related Occupation	$17,021.00 	409
333-03-0018	Darren	Campbell	1306	Hickory Dr.	Dorchester	IL	62033	29	12	1967	(618) 362-9869	Food Preparation and Serving Related Occupation	$16,730.00 	410
143-82-3281	Barbara	Raymond	2208	Lincoln Dr	Brick	NJ	8724	1	6	1904	(732) 674-0542	Financial Manager	$80,813.00 	411
019-20-0099	Pamela	Cox	2091	Maple Dr.	Haverhill	MA	1832	2	11	1975	(978) 521-7352	Customer Service Representative	$27,249.00 	412
085-46-2606	Edward	Harbin	2982	KSMeadow Blvd.	Staten Island	NY	10314	2	3	1994	(347) 682-0613	Gaming Change Persons and Booth Cashier	$19,669.00 	413
045-50-6420	Genie	Heryford	2610	Fifth Street	Cadwell	GA	31009	21	5	1952	(860) 376-4196	PHome Economics Teacher, PostsecondaryYM	$56,067.00 	414
604-16-8597	Jason	VSwink	2873	Hill Street	Mountain View	CA	94041	6	10	1941	(650) 944-4148	Stock Clerk and Order Filler	$20,941.00 	415
339-05-2341	Opal	Krantz	182	Fourth Dr	Freeport	IL	61032	24	6	1912	(815) 656-8511	Network and Computer Systems Administrator	$57,165.00 	416
606-80-8598	JCarmen	Adams	1950	Thirteenth Street	Santa Ana	CA	92701	14	9	1999	(714) 660-1013	Carpenter	$36,608.00 	417
184-66-6635	Katrina	Hernandez	1933	OJJefferson Avenue	Forks Township	PA	18042	26	3	1984	(484) 499-2247	Child Care Worker	$16,843.00 	418
672-03-3331	Jordan	Rubin	1645	Main Street	Evans	GA	30809	28	4	1963	(706) 598-4365	Payroll and Timekeeping Clerk	$31,165.00 	419
12/1/5367	Amanda	XSprosty	1871	Second Avenue	Framingham	MA	1701	26	7	1984	(508) 202-1419	Cashier	$16,077.00 	420
466-55-2315	Andy	Cortes	981	Second Blvd.	San Antonio	TX	78207	3	2	1917	(210) 353-4832	General and Operations Manager	$87,323.00 	421
224-42-7022	Philip	Beeckman	1069	Ninth Ave	Franconia	VA	22310	27	6	2000	(571) 642-7090	Architect, Except Landscape and Naval	$61,327.00 	422
551-71-9615	BMark	Baroody	293	North St	Oklahoma City	OK	73135	14	7	1990	(626) 765-1255	Judge, Magistrate Judge, and Magistrate	$81,237.00 	423
626-26-4955	Cornelius	Lipsky	1709	Railroad Street	Los Angeles	CA	90004	22	8	1926	(213) 205-8521	Special Education Teacher, Preschool, Kindergarten, and Elementary School	$45,084.00 	424
690-01-2407	Marcia	Coombe	1793	Park St	Winston Salem	NC	27106	27	1	1917	(336) 581-2398	Retail Salesperson	$20,738.00 	425
303-02-2491	Sara	Pate	2427	East Dr	Marion	IN	46952	2	18	1945	(765) 733-6773	Elementary School Teacher, Except Special Education	$46,061.00 	426
543-15-3106	Corine	Weaver	2896	Oak Street	Hermiston	OR	97838	26	12	1990	(541) 720-3054	Maid and Housekeeping Cleaner	$17,662.00 	427
250-72-4056	Stephen	Peoples	2166	Second Dr	Sumter	SC	29154	26	4	1911	(803) 436-2231	Nonfarm Animal Caretaker	$19,280.00 	428
357-50-7125	David	Parker	2525	Eleventh Blvd.	Prophetstown	IL	61277	5	2	1926	(815) 537-9004	Fire Fighter	$35,672.00 	429
579-88-3359	Mary	Millan	2401	GAHighland Avenue	Washington	DC	20020	13	3	1934	(202) 223-4608	Procurement Clerk	$31,201.00 	430
376-36-5733	Raymond	Bragg	570	Cedar St.	Lowell	MI	49331	16	8	1993	(616) 421-5582	Insurance Sales Agent	$54,739.00 	431
431-38-7396	Rudolph	Tobiassen	2949	EJSmith St	Birdsnest	VA	23307	15	1	1946	(318) 367-1824	Plumber, Pipefitter, and Steamfitter	$43,015.00 	432
477-04-0846	Evelyn	Moncada	2095	Tenth Dr., Apt. 14	Dry Fork	VA	24549	18	2	1945	(507) 990-9019	Administrative Services Manager	$56,390.00 	433
497-76-5744	Marguerite	Haynes	363	Park Avenue	Kansas City	MO	64164	19	7	1991	(660) 555-5203	News Analyst, Reporter and Correspondent	$39,406.00 	434
585-51-6993	Joseph	Pagan	667	Elm St.	Las Cruces	NM	88001	2	2	1920	(505) 678-7034	IFirst-Line Supervisor/Manager of Mechanics, Installers, and RepairerBJ	$47,677.00 	435
646-36-8871	Burris	Henry	2718	Park Blvd.	St George	UT	84770	15	3	1920	(435) 710-6134	Janitor and Cleaner, Except Maids and Housekeeping Cleaner	$20,045.00 	436
553-51-6700	Matthew	Rubin	2182	Fourteenth Dr.	Bakersfield	CA	93304	22	2	1965	(661) 281-7614	Waiter	$16,207.00 	437
020-54-4573	Valerie	Barnett	2806	South Dr	Lynn	MA	1902	26	9	1945	(781) 268-5545	Secretary, Except Legal, Medical, and Executive	$26,083.00 	438
668-14-7155	YGrace	Palacios	1645	Lincoln Dr	Brunswick	GA	31525	13	1	1979	(912) 242-4534	General and Operations Manager	$81,951.00 	439
391-54-2305	Geraldine	Burton	100	Church Blvd.	Appleton	WI	54914	17	9	1939	(715) 366-0987	First-Line Supervisor/Manager of Office and Administrative Support Worker	$43,249.00 	440
508-92-0781	Norma	Conner	1115	Laurel St	Nebraska City	NE	68410	24	1	1948	(402) 713-9532	EExecutive Secretary and Administrative AssistantJJ	$36,156.00 	441
175-62-8576	Elizabeth	Maupin	654	Sycamore Ave.	Salem	OR	97301	10	9	1975	(215) 807-9478	Construction Laborer	$27,740.00 	442
670-03-0626	FBrent	Torres	998	WSMaple Dr	Chamblee	GA	30341	24	6	1991	(404) 339-7661	Veterinary Technologist and Technician	$23,235.00 	443
606-29-7011	Claire	Stanbrough	2836	Hickory Dr.	Holt	AL	35404	5	28	1980	(530) 658-0543	Sales Representative, Wholesale and Manufacturing, Except Technical and Scientific Product	$51,236.00 	444
602-54-8270	Seth	SFisher	2180	Lincoln Blvd.	Santa Ana	CA	92704	11	8	1947	(714) 463-9428	Food Preparation and Serving Related Occupation	$17,528.00 	445
461-28-0087	Lisa	Vongkhamphanh	2741	Meadow Ave, Apt. 10	El Paso	TX	79924	20	10	1926	(325) 555-6128	Truck Driver, Heavy and Tractor-Trailer	$34,444.00 	446
262-57-7925	Rick	Stanley	167	Miller Avenue	Waynesburg	OH	44688	8	3	1950	(850) 379-7052	Painter, Transportation Equipment	$35,269.00 	447
438-57-7407	Diane	Morgan	2658	Birch Drive	Boyce	LA	71409	18	7	1919	(318) 277-2710	Extruding, Forming, Pressing, and Compacting Machine Setter, Operator, and Tender	$27,580.00 	448
503-05-8323	Charles	Darnold	507	Maple Blvd.	Box Elder	SD	57719	2	11	1972	(605) 375-7385	Team Assembler	$25,198.00 	449
567-69-6712	Mary	Hargreaves	157	Seventh St.	Tamo	AR	71644	4	1	1912	(310) 494-9192	Food Preparation Worker	$17,782.00 	450
379-24-4894	QChristopher	Freels	564	Poplar Ave	Springfield	MA	1109	18	12	1919	(517) 294-0782	Real Estate Sales Agent	$42,589.00 	451
655-03-5877	Lois	Carter	395	Sunset St.	Kingstree	SC	29556	16	11	1986	(843) 355-9246	Airline Pilot, Copilot, and Flight Engineer	$125,809.00 	452
480-66-7478	Nora	Simmons	2945	Lake Ave.	West Point	IA	52656	3	5	1950	(319) 256-3905	Automotive Service Technician and Mechanic	$33,817.00 	453
239-17-1885	Alphonso	Houts	2427	Lincoln Dr	Cape Fear	NC	28401	21	6	1952	(910) 795-7637	Janitor and Cleaner, Except Maids and Housekeeping Cleaner	$19,930.00 	454
165-64-3527	Mildred	Ohme	1975	Laurel Ave	Washington	PA	15301	4	12	1994	(412) 217-9554	Carpenter	$38,617.00 	455
115-05-7466	Margaret	Morris	2093	South St.	Hudson	NY	12534	15	7	1926	(518) 965-6035	Bartender	$16,317.00 	456
648-03-9165	DFloyd	Gray	2628	Highland St	Las Vegas	NM	87701	29	1	1933	(505) 426-2645	Stock Clerk and Order Filler	$21,682.00 	457
509-94-3340	Shawn	Christensen	1017	Ninth Ave	Wichita	KS	67212	21	6	1921	(316) 269-3630	Education Administrator, Elementary and Secondary School	$72,509.00 	458
268-28-6900	Thuy	Beadle	886	Smith St	Pasadena	TX	77502	13	4	2000	(813) 927-0392	Electric Motor, Power Tool, and Related Repairer	$34,047.00 	459
234-28-8692	Michael	Lieb	1980	Highland St., Apt. 2	New England	WV	26181	28	7	1912	(304) 477-4176	Pharmacist	$75,790.00 	460
357-90-5100	Amy	Koonce	347	Eighth Ave	Cicero	IL	60650	16	6	1994	(708) 484-7731	Waiter	$16,312.00 	461
083-48-9377	Anna	HCastillo	120	Second Blvd.	Pomona	NY	10970	16	12	1915	(845) 355-1709	Secretary, Except Legal, Medical, and Executive	$26,794.00 	462
374-86-7959	Christopher	ABaiera	2396	Franklin Dr.	Southgate	MI	48195	14	8	1921	(734) 610-5958	Industrial Machinery Mechanic	$41,292.00 	463
364-09-4177	Donna	Wills	498	First Dr.	Crystal Falls	MI	49920	10	5	1931	(906) 875-4755	Nursing Aide, Orderly, and Attendant	$21,054.00 	464
595-34-5119	Grunwald	Gerald	401	Highland St	Dunlawton	FL	32119	1	12	1929	(386) 255-3672	Billing and Posting Clerks and Machine Operator	$25,886.00 	465
192-40-8089	TRoy	Denton	2129	Lake Ave.	Yardley	PA	19067	12	4	1993	(215) 369-9400	Data Entry Keyer	$23,702.00 	466
227-42-5781	Nelson	Nivens	719	Williams Dr	Richmond	VA	23225	9	1	1904	(804) 271-4021	First-Line Supervisor/Manager of Production and Operating Worker	$44,278.00 	467
067-28-1275	Jackie	Dill	1526	Park Drive	Queens Village	NY	11429	13	2	1971	(516) 500-4066	General and Operations Manager	$84,874.00 	468
536-03-7773	Alice	Villasenor	1821	Hill Ave.	Tacoma	WA	98404	19	11	1971	(253) 619-7335	YLawyerWK	$104,022.00 	469
478-16-6852	Ronald	Hidvegi	1053	Park Street	White Plains	NY	10605	8	4	1984	(641) 648-3306	RBill and Account CollectorHA	$27,333.00 	470
267-28-5261	Stephanie	Spies	2031	Dogwood St.	Cocoa	FL	32922	23	4	1944	(321) 227-2780	Laborer and Freight, Stock, and Material Movers, Hand	$21,629.00 	471
145-70-4258	Mark	Custer	308	Second Drive	Bordentown	NJ	8505	12	6	1967	(609) 456-9139	Radiologic Technologist and Technician	$41,546.00 	472
421-96-8298	Henriette	Keisker	2087	Fifteenth Dr	Gurley	AL	35748	26	2	1939	(256) 776-6265	Bookkeeping, Accounting, and Auditing Clerk	$27,486.00 	473
643-54-7005	Sara	Sherbondy	1047	Center St.	Sonora	OH	43701	25	2	1966	(281) 922-1557	Private Detectives and Investigator	$34,257.00 	474
325-34-5867	NBurton	William	2936	Green Dr	Wheeling	IL	60090	18	4	1923	(224) 588-1656	Secretary, Except Legal, Medical, and Executive	$25,255.00 	475
219-84-6166	Purdie	Elvira	2019	Seventh Drive	Colesville	MD	20904	10	4	1942	(410) 297-4425	Retail Salesperson	$21,950.00 	476
196-78-1787	James	SWalker	599	Eighth Avenue	Forks Township	PA	18042	2	8	1980	(484) 863-4061	Meat, Poultry, and Fish Cutters and Trimmer	$18,779.00 	477
121-07-4468	Socorro	Hayworth	542	Thirteenth St	Middle Island	NY	11953	2	10	1937	(631) 668-6352	Loan Officer	$50,453.00 	478
351-84-4397	Linda	Dennison	1178	Fourth Ave	Chatham	IL	62629	14	7	1964	(217) 483-5063	Food Preparation and Serving Related Occupation	$16,549.00 	479
402-32-5250	Vanesa	Lebrane	793	Washington Ave.	Stafford	TX	77477	23	8	1954	(606) 798-9335	ZIndustrial Truck and Tractor OperatorKH	$27,011.00 	480
570-24-3980	Neil	Tetzlaff	161	Franklin St	Mill Valley	CA	94941	5	1	1991	(415) 879-2149	Office Clerk, General	$23,865.00 	481
627-78-4888	Ann	Wand	726	Railroad Blvd.	Tyler	TX	75707	1	5	1945	(903) 316-0780	Office Clerk, General	$23,276.00 	482
143-30-3258	Fernando	Powell	619	Washington Ave.	Bisbee	AZ	85603	1	7	1955	(862) 203-2242	Prepress Technician and Worker	$34,558.00 	483
365-40-1160	Brenda	Adams	1689	View St.	Coldwater	MI	49036	10	2	1995	(517) 238-4568	Bailiff	$33,878.00 	484
667-09-8094	Adam	MRagsdale	1750	UFHill St.	Norcross	GA	30092	25	7	1944	(678) 918-5482	Counter and Rental Clerk	$19,241.00 	485
147-70-5918	Fred	Slattery	2459	Elm Dr	Washington	NJ	8012	28	8	1998	(609) 321-0437	Host, Restaurant, Lounge, and Coffee Shop	$16,425.00 	486
148-14-5466	James	Chao	2170	Third Avenue	Trenton	NJ	8618	18	10	1916	(609) 562-5974	Secretary, Except Legal, Medical, and Executive	$26,160.00 	487
294-10-4435	Karen	Hickman	969	Broadway Ave	Brockton	MA	2401	10	10	1907	(740) 859-8752	Office Clerk, General	$23,588.00 	488
088-10-3112	Anthony	Fontanez	2605	Lincoln Avenue	Chicago	IL	60607	12	3	1920	(347) 728-4595	Office Machine Operators, Except Computer	$23,267.00 	489
564-29-3053	Mckeen	Kathryn	1661	River Blvd.	Huntington Park	CA	90255	11	5	1986	(310) 317-9030	Communications Teacher, Postsecondary	$53,528.00 	490
332-74-0989	Callender	Delbert	2757	Lincoln Dr.	Broadview	IL	60153	23	3	1943	(815) 568-4568	Office Clerk, General	$23,908.00 	491
398-62-4290	FElizabeth	Rangel	2698	Lincoln Blvd.	Janesville	WI	53545	20	10	1995	(608) 563-6603	Laborer and Freight, Stock, and Material Movers, Hand	$21,455.00 	492
270-80-7059	William	Nguyen	1717	Broadway St	Midway	PA	15060	12	8	1997	(937) 962-1418	Food Batchmaker	$23,892.00 	493
235-52-5676	Crystal	Witt	2425	South St.	Lenoir	NC	28645	8	8	1990	(828) 758-6028	Construction Laborer	$28,230.00 	494
307-12-2497	Pamela	Perez	2622	Park Ave.	Carmel	IN	46032	18	6	1985	(317) 816-5907	OCook, RestaurantGK	$19,128.00 	495
633-10-7740	Michael	Durall	1533	SKHill Avenue	Duxbury	MA	2332	16	1	1926	(254) 421-9107	Sheet Metal Worker	$38,141.00 	496
539-64-5884	Andrea	Anderson	1919	Eighth St	Wide Hollow	WA	98908	25	11	1943	(509) 304-8071	General and Operations Manager	$85,849.00 	497
678-05-1487	Marion	Berry	2366	Fifth Blvd.	Little Rock	AR	72212	9	7	1910	(501) 310-7940	Carpenter	$35,644.00 	498
647-38-5076	Cornelius	Familia	1333	Walnut Avenue	Lark	UT	84065	20	9	1937	(435) 725-6277	Insurance Sales Agent	$51,629.00 	499
295-82-2029	Salley	HMargo	1707	East Dr	Independence	OH	44131	6	16	1922	(216) 642-5314	Bill and Account Collector	$29,654.00 	500
